Område;KomKode;Byområde;Navn;Folketal;Areal;Befolkningstæthed
000-01100 Hovedstadsområdet;000;01100;Hovedstadsområdet;0.0;0.0;0.0
101-00101 Københavns Kommune;101;00101;Københavns Kommune;0.0;0.0;0.0
101-01100 København (del af Hovedstadsområdet);101;01100;København (del af Hovedstadsområdet);602481.0;76.7;7855.2
101-99999 Landdistrikter;101;99999;Landdistrikter;0.0;9.7;0.0
147-00147 Frederiksberg Kommune;147;00147;Frederiksberg Kommune;0.0;0.0;0.0
147-01100 Frederiksberg (del af Hovedstadsområdet);147;01100;Frederiksberg (del af Hovedstadsområdet);105037.0;8.7;12063.5
147-99999 Landdistrikter;147;99999;Landdistrikter;0.0;0.0;0.0
151-00151 Ballerup Kommune;151;00151;Ballerup Kommune;0.0;0.0;0.0
151-01100 Ballerup (del af Hovedstadsområdet);151;01100;Ballerup (del af Hovedstadsområdet);39019.0;15.7;2486.1
151-10223 Smørumnedre (del af flere kommuner);151;10223;Smørumnedre (del af flere kommuner);8925.0;3.8;2345.6
151-99997 Uden fast bopæl;151;99997;Uden fast bopæl;57.0;0.0;0.0
151-99999 Landdistrikter;151;99999;Landdistrikter;230.0;14.5;15.9
153-00153 Brøndby Kommune;153;00153;Brøndby Kommune;0.0;0.0;0.0
153-01100 Brøndby (del af Hovedstadsområdet);153;01100;Brøndby (del af Hovedstadsområdet);35367.0;13.1;2696.1
153-99997 Uden fast bopæl;153;99997;Uden fast bopæl;183.0;0.0;0.0
153-99999 Landdistrikter;153;99999;Landdistrikter;44.0;7.9;5.6
155-00155 Dragør Kommune;155;00155;Dragør Kommune;0.0;0.0;0.0
155-10277 Søvang;155;10277;Søvang;1736.0;0.6;2691.5
155-10278 Dragør;155;10278;Dragør;12132.0;4.7;2570.3
155-99997 Uden fast bopæl;155;99997;Uden fast bopæl;49.0;0.0;0.0
155-99999 Landdistrikter;155;99999;Landdistrikter;371.0;12.9;28.8
157-00157 Gentofte Kommune;157;00157;Gentofte Kommune;0.0;0.0;0.0
157-01100 Gentofte (del af Hovedstadsområdet);157;01100;Gentofte (del af Hovedstadsområdet);75805.0;23.9;3168.6
157-99999 Landdistrikter;157;99999;Landdistrikter;0.0;1.7;0.0
159-00159 Gladsaxe Kommune;159;00159;Gladsaxe Kommune;0.0;0.0;0.0
159-01100 Gladsaxe (del af Hovedstadsområdet);159;01100;Gladsaxe (del af Hovedstadsområdet);68767.0;21.6;3182.6
159-99997 Uden fast bopæl;159;99997;Uden fast bopæl;0.0;0.0;0.0
159-99999 Landdistrikter;159;99999;Landdistrikter;8.0;3.3;2.4
161-00161 Glostrup Kommune;161;00161;Glostrup Kommune;0.0;0.0;0.0
161-01100 Glostrup (del af Hovedstadsområdet);161;01100;Glostrup (del af Hovedstadsområdet);22449.0;8.4;2657.0
161-99997 Uden fast bopæl;161;99997;Uden fast bopæl;65.0;0.0;0.0
161-99999 Landdistrikter;161;99999;Landdistrikter;14.0;4.8;2.9
163-00163 Herlev Kommune;163;00163;Herlev Kommune;0.0;0.0;0.0
163-01100 Herlev (del af Hovedstadsområdet);163;01100;Herlev (del af Hovedstadsområdet);28350.0;9.8;2890.8
163-99997 Uden fast bopæl;163;99997;Uden fast bopæl;37.0;0.0;0.0
163-99999 Landdistrikter;163;99999;Landdistrikter;19.0;2.3;8.4
165-00165 Albertslund Kommune;165;00165;Albertslund Kommune;0.0;0.0;0.0
165-01100 Albertslund (del af Hovedstadsområdet);165;01100;Albertslund (del af Hovedstadsområdet);27709.0;10.3;2679.0
165-99997 Uden fast bopæl;165;99997;Uden fast bopæl;62.0;0.0;0.0
165-99999 Landdistrikter;165;99999;Landdistrikter;125.0;12.8;9.7
167-00167 Hvidovre Kommune;167;00167;Hvidovre Kommune;0.0;0.0;0.0
167-01100 Hvidovre (del af Hovedstadsområdet);167;01100;Hvidovre (del af Hovedstadsområdet);52818.0;18.7;2820.4
167-99997 Uden fast bopæl;167;99997;Uden fast bopæl;146.0;0.0;0.0
167-99999 Landdistrikter;167;99999;Landdistrikter;0.0;4.2;0.0
169-00169 Høje-Taastrup Kommune;169;00169;Høje-Taastrup Kommune;0.0;0.0;0.0
169-10201 Hedehusene;169;10201;Hedehusene;11943.0;6.6;1812.3
169-10202 Reerslev;169;10202;Reerslev;641.0;0.5;1269.3
169-10203 Taastrup;169;10203;Taastrup;34154.0;13.4;2552.8
169-18394 Sengeløse;169;18394;Sengeløse;1538.0;0.9;1720.4
169-18395 Vridsløsemagle;169;18395;Vridsløsemagle;281.0;0.3;821.6
169-99997 Uden fast bopæl;169;99997;Uden fast bopæl;161.0;0.0;0.0
169-99999 Landdistrikter;169;99999;Landdistrikter;1528.0;56.6;27.0
173-00173 Lyngby-Taarbæk Kommune;173;00173;Lyngby-Taarbæk Kommune;0.0;0.0;0.0
173-01100 Lyngby-Taarbæk (del af Hovedstadsområdet);173;01100;Lyngby-Taarbæk (del af Hovedstadsområdet);54759.0;18.4;2974.7
173-10287 Skodsborg;173;10287;Skodsborg;0.0;0.0;0.0
173-99997 Uden fast bopæl;173;99997;Uden fast bopæl;310.0;0.0;0.0
173-99999 Landdistrikter;173;99999;Landdistrikter;171.0;20.4;8.4
175-00175 Rødovre Kommune;175;00175;Rødovre Kommune;0.0;0.0;0.0
175-01100 Rødovre (del af Hovedstadsområdet);175;01100;Rødovre (del af Hovedstadsområdet);38358.0;11.2;3416.9
175-99997 Uden fast bopæl;175;99997;Uden fast bopæl;134.0;0.0;0.0
175-99999 Landdistrikter;175;99999;Landdistrikter;0.0;0.9;0.0
183-00183 Ishøj Kommune;183;00183;Ishøj Kommune;0.0;0.0;0.0
183-01100 Ishøj (del af Hovedstadsområdet);183;01100;Ishøj (del af Hovedstadsområdet);20712.0;5.5;3774.1
183-15889 Torslunde;183;15889;Torslunde;312.0;0.2;1437.8
183-18390 Ishøj Landsby;183;18390;Ishøj Landsby;1083.0;0.7;1547.1
183-18597 Vestervang;183;18597;Vestervang;0.0;0.0;0.0
183-99997 Uden fast bopæl;183;99997;Uden fast bopæl;101.0;0.0;0.0
183-99999 Landdistrikter;183;99999;Landdistrikter;511.0;20.1;25.5
185-00185 Tårnby Kommune;185;00185;Tårnby Kommune;0.0;0.0;0.0
185-01100 Tårnby (del af Hovedstadsområdet);185;01100;Tårnby (del af Hovedstadsområdet);42543.0;13.7;3104.4
185-99997 Uden fast bopæl;185;99997;Uden fast bopæl;157.0;0.0;0.0
185-99999 Landdistrikter;185;99999;Landdistrikter;310.0;52.4;5.9
187-00187 Vallensbæk Kommune;187;00187;Vallensbæk Kommune;0.0;0.0;0.0
187-01100 Vallensbæk (del af Hovedstadsområdet);187;01100;Vallensbæk (del af Hovedstadsområdet);15157.0;4.1;3716.8
187-18391 Vallensbæk Landsby;187;18391;Vallensbæk Landsby;446.0;0.3;1722.0
187-99997 Uden fast bopæl;187;99997;Uden fast bopæl;36.0;0.0;0.0
187-99999 Landdistrikter;187;99999;Landdistrikter;66.0;5.1;12.8
190-00190 Furesø Kommune;190;00190;Furesø Kommune;0.0;0.0;0.0
190-01100 Furesø (del af Hovedstadsområdet);190;01100;Furesø (del af Hovedstadsområdet);3776.0;1.6;2298.2
190-10221 Kirke Værløse;190;10221;Kirke Værløse;994.0;0.6;1595.5
190-10223 Smørumnedre (del af flere kommuner);190;10223;Smørumnedre (del af flere kommuner);1156.0;0.5;2214.6
190-10237 Farum;190;10237;Farum;19967.0;7.7;2598.9
190-10241 Birkerød (del af flere kommuner);190;10241;Birkerød (del af flere kommuner);6.0;0.0;461.5
190-11048 Værløse;190;11048;Værløse;13127.0;5.1;2582.5
190-18839 Laanshøj;190;18839;Laanshøj;617.0;0.2;2856.5
190-99997 Uden fast bopæl;190;99997;Uden fast bopæl;214.0;0.0;0.0
190-99999 Landdistrikter;190;99999;Landdistrikter;756.0;41.0;18.4
201-00201 Allerød Kommune;201;00201;Allerød Kommune;0.0;0.0;0.0
201-10241 Birkerød (del af flere kommuner);201;10241;Birkerød (del af flere kommuner);31.0;0.0;911.8
201-10300 Blovstrød;201;10300;Blovstrød;2211.0;1.3;1714.0
201-10693 Lynge;201;10693;Lynge;4036.0;1.8;2246.0
201-10829 Lillerød;201;10829;Lillerød;16793.0;7.4;2259.9
201-12871 Nymølle;201;12871;Nymølle;374.0;1.2;309.6
201-99997 Uden fast bopæl;201;99997;Uden fast bopæl;42.0;0.0;0.0
201-99999 Landdistrikter;201;99999;Landdistrikter;1455.0;55.7;26.1
210-00210 Fredensborg Kommune;210;00210;Fredensborg Kommune;0.0;0.0;0.0
210-10006 Humlebæk;210;10006;Humlebæk;9587.0;4.2;2306.8
210-10008 Nivå;210;10008;Nivå;8024.0;2.7;2952.2
210-10172 Helsingør (del af flere kommuner);210;10172;Helsingør (del af flere kommuner);91.0;0.0;2116.3
210-10194 Espergærde (del af flere kommuner);210;10194;Espergærde (del af flere kommuner);0.0;0.0;0.0
210-10303 Hørsholm (del af flere kommuner);210;10303;Hørsholm (del af flere kommuner);10115.0;3.9;2571.8
210-10652 Hillerød (del af flere kommuner);210;10652;Hillerød (del af flere kommuner);8.0;0.0;1000.0
210-10703 Sørup;210;10703;Sørup;555.0;0.4;1512.3
210-16469 Karlebo;210;16469;Karlebo;214.0;0.3;761.6
210-18410 Fredensborg;210;18410;Fredensborg;8519.0;4.7;1817.6
210-18411 Nivå Havn;210;18411;Nivå Havn;0.0;0.0;0.0
210-99997 Uden fast bopæl;210;99997;Uden fast bopæl;112.0;0.0;0.0
210-99999 Landdistrikter;210;99999;Landdistrikter;3279.0;95.9;34.2
217-00217 Helsingør Kommune;217;00217;Helsingør Kommune;0.0;0.0;0.0
217-10007 Kvistgård;217;10007;Kvistgård;1162.0;1.7;690.4
217-10135 Hornbæk-Dronningmølle (del af flere kommuner);217;10135;Hornbæk-Dronningmølle (del af flere kommuner);3571.0;3.9;912.8
217-10136 Hellebæk;217;10136;Hellebæk;5530.0;2.5;2210.2
217-10170 Tikøb;217;10170;Tikøb;709.0;0.4;1696.2
217-10171 Gurre;217;10171;Gurre;418.0;0.4;1050.3
217-10172 Helsingør (del af flere kommuner);217;10172;Helsingør (del af flere kommuner);47032.0;17.9;2627.6
217-10194 Espergærde (del af flere kommuner);217;10194;Espergærde (del af flere kommuner);0.0;0.0;0.0
217-12974 Langesø;217;12974;Langesø;226.0;0.9;254.5
217-15244 Saunte;217;15244;Saunte;1240.0;1.1;1176.5
217-70078 Stenstrup;217;70078;Stenstrup;0.0;0.0;0.0
217-99997 Uden fast bopæl;217;99997;Uden fast bopæl;143.0;0.0;0.0
217-99999 Landdistrikter;217;99999;Landdistrikter;2412.0;90.1;26.8
219-00219 Hillerød Kommune;219;00219;Hillerød Kommune;0.0;0.0;0.0
219-10076 Skævinge;219;10076;Skævinge;2631.0;1.2;2216.5
219-10232 Store Lyngby;219;10232;Store Lyngby;837.0;0.4;2312.2
219-10233 Meløse;219;10233;Meløse;642.0;0.3;2140.0
219-10291 Gørløse;219;10291;Gørløse;1147.0;0.6;1905.3
219-10292 Nørre Herlev;219;10292;Nørre Herlev;430.0;0.3;1653.8
219-10299 Uvelse;219;10299;Uvelse;980.0;0.5;1987.8
219-10650 Alsønderup;219;10650;Alsønderup;541.0;0.4;1498.6
219-10651 Gadevang;219;10651;Gadevang;1125.0;0.8;1348.9
219-10652 Hillerød (del af flere kommuner);219;10652;Hillerød (del af flere kommuner);32270.0;17.4;1851.8
219-10700 Nødebo;219;10700;Nødebo;2040.0;1.3;1565.6
219-10808 Ny Hammersholt;219;10808;Ny Hammersholt;1307.0;0.5;2466.0
219-12960 Brødeskov;219;12960;Brødeskov;211.0;0.1;2089.1
219-13387 Ny Harløse;219;13387;Ny Harløse;204.0;0.1;1522.4
219-18409 Tulstrup;219;18409;Tulstrup;1207.0;0.6;2095.5
219-99997 Uden fast bopæl;219;99997;Uden fast bopæl;142.0;0.0;0.0
219-99999 Landdistrikter;219;99999;Landdistrikter;4395.0;189.0;23.3
223-00223 Hørsholm Kommune;223;00223;Hørsholm Kommune;0.0;0.0;0.0
223-10289 Trørød (del af flere kommuner);223;10289;Trørød (del af flere kommuner);0.0;0.0;0.0
223-10303 Hørsholm (del af flere kommuner);223;10303;Hørsholm (del af flere kommuner);24457.0;11.4;2137.7
223-99997 Uden fast bopæl;223;99997;Uden fast bopæl;66.0;0.0;0.0
223-99999 Landdistrikter;223;99999;Landdistrikter;454.0;19.8;22.9
230-00230 Rudersdal Kommune;230;00230;Rudersdal Kommune;0.0;0.0;0.0
230-01100 Rudersdal (del af Hovedstadsområdet);230;01100;Rudersdal (del af Hovedstadsområdet);19878.0;9.3;2128.7
230-10220 Høsterkøb;230;10220;Høsterkøb;320.0;0.5;665.3
230-10241 Birkerød (del af flere kommuner);230;10241;Birkerød (del af flere kommuner);20541.0;9.1;2263.5
230-10287 Skodsborg;230;10287;Skodsborg;1245.0;0.4;3167.9
230-10289 Trørød (del af flere kommuner);230;10289;Trørød (del af flere kommuner);0.0;0.0;0.0
230-10301 Ravnsnæs;230;10301;Ravnsnæs;611.0;0.3;2071.2
230-10302 Brådebæk;230;10302;Brådebæk;0.0;0.0;0.0
230-10303 Hørsholm (del af flere kommuner);230;10303;Hørsholm (del af flere kommuner);12722.0;7.1;1795.9
230-99997 Uden fast bopæl;230;99997;Uden fast bopæl;107.0;0.0;0.0
230-99999 Landdistrikter;230;99999;Landdistrikter;709.0;46.7;15.2
240-00240 Egedal Kommune;240;00240;Egedal Kommune;0.0;0.0;0.0
240-10030 Tangbjerg;240;10030;Tangbjerg;574.0;0.2;2352.5
240-10208 Ganløse;240;10208;Ganløse;2895.0;1.2;2349.8
240-10223 Smørumnedre (del af flere kommuner);240;10223;Smørumnedre (del af flere kommuner);9699.0;3.7;2653.6
240-10224 Stenløse;240;10224;Stenløse;0.0;0.0;0.0
240-10225 Søsum;240;10225;Søsum;321.0;0.2;1834.3
240-10273 Ledøje;240;10273;Ledøje;823.0;0.4;1936.5
240-10999 Ølstykke St.;240;10999;Ølstykke St.;0.0;0.0;0.0
240-11047 Slagslunde;240;11047;Slagslunde;908.0;0.5;1883.8
240-11263 Smørumovre;240;11263;Smørumovre;0.0;0.0;0.0
240-18361 Veksø;240;18361;Veksø;1892.0;0.7;2567.2
240-18767 Ølstykke-Stenløse;240;18767;Ølstykke-Stenløse;21635.0;9.8;2212.4
240-70316 Buresø;240;70316;Buresø;505.0;0.9;545.4
240-99997 Uden fast bopæl;240;99997;Uden fast bopæl;53.0;0.0;0.0
240-99999 Landdistrikter;240;99999;Landdistrikter;3777.0;108.2;34.9
250-00250 Frederikssund Kommune;250;00250;Frederikssund Kommune;0.0;0.0;0.0
250-10012 Dalby;250;10012;Dalby;316.0;0.2;2038.7
250-10013 Skibby;250;10013;Skibby;3191.0;1.8;1738.0
250-10014 Skuldelev;250;10014;Skuldelev;882.0;0.5;1837.5
250-10177 Ferslev;250;10177;Ferslev;256.0;0.2;1049.2
250-10178 Kyndby;250;10178;Kyndby;272.0;0.2;1203.5
250-10179 Venslev;250;10179;Venslev;239.0;0.3;827.0
250-10190 Slangerup;250;10190;Slangerup;6864.0;3.2;2117.9
250-10235 Græse Bakkeby;250;10235;Græse Bakkeby;2314.0;0.7;3169.9
250-10236 Jægerspris;250;10236;Jægerspris;4226.0;2.8;1534.5
250-10305 Sønderby;250;10305;Sønderby;295.0;0.3;1031.5
250-10680 Gerlev;250;10680;Gerlev;775.0;0.5;1645.4
250-10681 Landerslev;250;10681;Landerslev;254.0;0.1;1854.0
250-10682 Lyngerup;250;10682;Lyngerup;233.0;0.2;1063.9
250-10683 Frederikssund;250;10683;Frederikssund;16186.0;8.2;1982.4
250-10684 Jørlunde;250;10684;Jørlunde;306.0;0.2;1436.6
250-10698 Kyndby Huse;250;10698;Kyndby Huse;301.0;0.2;1447.1
250-10998 Store Rørbæk;250;10998;Store Rørbæk;568.0;0.3;1938.6
250-15744 Vellerup;250;15744;Vellerup;459.0;1.7;276.3
250-17169 Græse;250;17169;Græse;207.0;0.1;1427.6
250-70269 Dalby Huse;250;70269;Dalby Huse;279.0;0.9;326.3
250-70271 Kulhuse;250;70271;Kulhuse;908.0;4.5;203.3
250-70310 Over Dråby Strand;250;70310;Over Dråby Strand;409.0;1.4;294.0
250-99997 Uden fast bopæl;250;99997;Uden fast bopæl;71.0;0.0;0.0
250-99999 Landdistrikter;250;99999;Landdistrikter;5225.0;220.0;23.7
253-00253 Greve Kommune;253;00253;Greve Kommune;0.0;0.0;0.0
253-01100 Greve Strand (del af Hovedstadsområdet);253;01100;Greve Strand (del af Hovedstadsområdet);42701.0;21.9;1953.4
253-10184 Greve;253;10184;Greve;718.0;0.5;1471.3
253-10321 Tune;253;10321;Tune;5250.0;2.5;2130.7
253-11260 Kildebrønde;253;11260;Kildebrønde;357.0;0.3;1040.8
253-99997 Uden fast bopæl;253;99997;Uden fast bopæl;133.0;0.0;0.0
253-99999 Landdistrikter;253;99999;Landdistrikter;762.0;35.2;21.6
259-00259 Køge Kommune;259;00259;Køge Kommune;0.0;0.0;0.0
259-10041 Vemmedrup;259;10041;Vemmedrup;1663.0;1.3;1242.0
259-10042 Borup;259;10042;Borup;4628.0;2.6;1775.2
259-10047 Ejby;259;10047;Ejby;3142.0;1.7;1811.0
259-10048 Lellinge;259;10048;Lellinge;698.0;0.4;1727.7
259-10075 Algestrup;259;10075;Algestrup;887.0;0.5;1777.6
259-10198 Slimminge;259;10198;Slimminge;481.0;0.3;1693.7
259-10199 Bjæverskov;259;10199;Bjæverskov;2995.0;1.9;1574.7
259-10244 Nørre Dalby;259;10244;Nørre Dalby;548.0;0.3;2099.6
259-10313 Køge;259;10313;Køge;36864.0;18.5;1987.7
259-10316 Vedskølle (del af flere kommuner);259;10316;Vedskølle (del af flere kommuner);283.0;0.3;1080.2
259-10946 Lille Skensved (del af flere kommuner);259;10946;Lille Skensved (del af flere kommuner);1551.0;1.0;1485.6
259-10947 Gørslev;259;10947;Gørslev;0.0;0.0;0.0
259-99997 Uden fast bopæl;259;99997;Uden fast bopæl;175.0;0.0;0.0
259-99999 Landdistrikter;259;99999;Landdistrikter;6194.0;228.1;27.2
260-00260 Halsnæs Kommune;260;00260;Halsnæs Kommune;0.0;0.0;0.0
260-10077 Frederiksværk;260;10077;Frederiksværk;12368.0;8.2;1499.7
260-10192 Liseleje;260;10192;Liseleje;2556.0;6.0;426.3
260-10230 Vinderød;260;10230;Vinderød;1052.0;0.7;1582.0
260-10234 Ølsted;260;10234;Ølsted;1926.0;1.0;1879.0
260-10699 Hundested;260;10699;Hundested;8588.0;7.6;1131.3
260-15663 Torup;260;15663;Torup;355.0;0.3;1207.5
260-18953 Melby;260;18953;Melby;805.0;0.7;1132.2
260-70012 Evetofte;260;70012;Evetofte;374.0;1.0;357.9
260-70015 Melby;260;70015;Melby;0.0;0.0;0.0
260-70124 Ølsted Strandhuse;260;70124;Ølsted Strandhuse;217.0;0.4;542.5
260-70259 Ølsted Sydstrand;260;70259;Ølsted Sydstrand;304.0;0.9;322.0
260-99997 Uden fast bopæl;260;99997;Uden fast bopæl;142.0;0.0;0.0
260-99999 Landdistrikter;260;99999;Landdistrikter;2475.0;95.0;26.0
265-00265 Roskilde Kommune;265;00265;Roskilde Kommune;0.0;0.0;0.0
265-10015 Gundsømagle;265;10015;Gundsømagle;2584.0;1.1;2260.7
265-10033 Ågerup;265;10033;Ågerup;1495.0;0.7;2192.1
265-10034 Store Valby;265;10034;Store Valby;421.0;0.2;1776.4
265-10035 Veddelev;265;10035;Veddelev;1146.0;0.6;1959.0
265-10038 Svogerslev;265;10038;Svogerslev;4379.0;2.0;2222.8
265-10040 Roskilde;265;10040;Roskilde;50393.0;21.7;2324.4
265-10185 Jyllinge;265;10185;Jyllinge;10207.0;5.4;1882.9
265-10260 Herringløse;265;10260;Herringløse;390.0;0.3;1274.5
265-10856 Gadstrup;265;10856;Gadstrup;1957.0;1.6;1244.9
265-10888 Vindinge;265;10888;Vindinge;2450.0;1.1;2317.9
265-10889 Vor Frue;265;10889;Vor Frue;720.0;0.4;1777.8
265-10942 Havdrup (del af flere kommuner);265;10942;Havdrup (del af flere kommuner);2.0;0.0;1000.0
265-10943 Snoldelev;265;10943;Snoldelev;647.0;0.4;1494.2
265-10944 Viby;265;10944;Viby;4659.0;2.6;1787.8
265-12961 Assendløse;265;12961;Assendløse;0.0;0.0;0.0
265-12970 Gundsølille;265;12970;Gundsølille;278.0;0.3;911.5
265-99997 Uden fast bopæl;265;99997;Uden fast bopæl;200.0;0.0;0.0
265-99999 Landdistrikter;265;99999;Landdistrikter;5087.0;173.4;29.3
269-00269 Solrød Kommune;269;00269;Solrød Kommune;0.0;0.0;0.0
269-10319 Solrød;269;10319;Solrød;454.0;0.3;1375.8
269-10320 Solrød Strand;269;10320;Solrød Strand;15941.0;6.5;2437.5
269-10942 Havdrup (del af flere kommuner);269;10942;Havdrup (del af flere kommuner);4186.0;2.2;1926.4
269-10945 Jersie;269;10945;Jersie;516.0;0.4;1347.3
269-10946 Lille Skensved (del af flere kommuner);269;10946;Lille Skensved (del af flere kommuner);55.0;0.1;495.5
269-99997 Uden fast bopæl;269;99997;Uden fast bopæl;14.0;0.0;0.0
269-99999 Landdistrikter;269;99999;Landdistrikter;981.0;30.5;32.1
270-00270 Gribskov Kommune;270;00270;Gribskov Kommune;0.0;0.0;0.0
270-10131 Kagerup;270;10131;Kagerup;406.0;0.6;736.8
270-10132 Annisse Nord;270;10132;Annisse Nord;1501.0;1.2;1298.4
270-10134 Munkerup;270;10134;Munkerup;0.0;0.0;0.0
270-10135 Hornbæk-Dronningmølle (del af flere kommuner);270;10135;Hornbæk-Dronningmølle (del af flere kommuner);1686.0;4.6;366.0
270-10191 Ramløse;270;10191;Ramløse;1612.0;1.1;1525.1
270-10193 Helsinge;270;10193;Helsinge;8199.0;5.3;1538.3
270-10214 Skærød;270;10214;Skærød;0.0;0.0;0.0
270-10215 Tisvilde;270;10215;Tisvilde;1493.0;3.5;427.3
270-10216 Vejby;270;10216;Vejby;1092.0;0.7;1483.7
270-10231 Annisse;270;10231;Annisse;296.0;0.3;1147.3
270-10252 Blistrup;270;10252;Blistrup;1181.0;0.9;1251.1
270-10253 Esbønderup;270;10253;Esbønderup;1169.0;1.1;1028.1
270-10254 Græsted;270;10254;Græsted;3627.0;1.9;1914.0
270-10338 Smidstrup;270;10338;Smidstrup;1317.0;2.7;488.1
270-10753 Gilleleje;270;10753;Gilleleje;6633.0;5.4;1237.7
270-10871 Esrum;270;10871;Esrum;526.0;0.2;2191.7
270-12971 Holløse;270;12971;Holløse;375.0;0.9;398.9
270-12973 Ørby;270;12973;Ørby;328.0;0.4;735.4
270-12997 Mårum;270;12997;Mårum;250.0;0.3;919.1
270-13856 Esbønderup Kohave;270;13856;Esbønderup Kohave;0.0;0.0;0.0
270-16501 Søborg;270;16501;Søborg;240.0;0.3;952.4
270-70056 Rågeleje;270;70056;Rågeleje;770.0;3.1;246.4
270-70058 Holløselund;270;70058;Holløselund;376.0;1.6;240.7
270-70063 Vejby Strand;270;70063;Vejby Strand;415.0;2.5;168.9
270-70068 Bækkekrog;270;70068;Bækkekrog;202.0;0.2;918.2
270-70073 Udsholt Strand;270;70073;Udsholt Strand;1109.0;4.4;253.9
270-70077 Dronningmølle;270;70077;Dronningmølle;0.0;0.0;0.0
270-70171 Strand Esbønderup;270;70171;Strand Esbønderup;310.0;0.8;383.2
270-99997 Uden fast bopæl;270;99997;Uden fast bopæl;0.0;0.0;0.0
270-99999 Landdistrikter;270;99999;Landdistrikter;6100.0;235.6;25.9
306-00306 Odsherred Kommune;306;00306;Odsherred Kommune;0.0;0.0;0.0
306-10083 Stårup;306;10083;Stårup;0.0;0.0;0.0
306-10084 Højby;306;10084;Højby;1470.0;1.1;1287.2
306-10157 Rørvig;306;10157;Rørvig;1032.0;1.1;912.5
306-10261 Strandhuse;306;10261;Strandhuse;218.0;0.2;1009.3
306-10262 Svinninge;306;10262;Svinninge;0.0;0.0;0.0
306-10263 Vig;306;10263;Vig;1537.0;1.1;1388.4
306-10264 Egebjerg;306;10264;Egebjerg;394.0;0.5;841.9
306-10328 Grevinge;306;10328;Grevinge;646.0;0.4;1587.2
306-10355 Havnebyen;306;10355;Havnebyen;650.0;0.6;1140.4
306-10379 Herrestrup;306;10379;Herrestrup;274.0;0.3;1074.5
306-10410 Havnsø (del af flere kommuner);306;10410;Havnsø (del af flere kommuner);0.0;0.0;0.0
306-10421 Fårevejle Stationsby;306;10421;Fårevejle Stationsby;1822.0;1.2;1538.9
306-10422 Hørve;306;10422;Hørve;2514.0;1.5;1655.0
306-10440 Fårevejle Kirkeby;306;10440;Fårevejle Kirkeby;751.0;0.6;1219.2
306-10482 Nykøbing S;306;10482;Nykøbing S;5229.0;3.0;1715.6
306-11001 Asnæs;306;11001;Asnæs;2934.0;2.2;1316.3
306-11778 Nørre Asmindrup;306;11778;Nørre Asmindrup;640.0;0.6;1092.2
306-14455 Moseby;306;14455;Moseby;294.0;0.5;569.8
306-15869 Høve;306;15869;Høve;0.0;0.0;0.0
306-16807 Kelstrup;306;16807;Kelstrup;229.0;0.2;991.3
306-70024 Øster Lyng;306;70024;Øster Lyng;303.0;1.5;195.9
306-70026 Klint;306;70026;Klint;277.0;2.1;129.5
306-70030 Klintehuse;306;70030;Klintehuse;0.0;0.0;0.0
306-70079 Ordrup Strand;306;70079;Ordrup Strand;222.0;2.1;107.6
306-70133 Hønsinge Lyng;306;70133;Hønsinge Lyng;295.0;2.0;150.4
306-70185 Yderby Lyng;306;70185;Yderby Lyng;244.0;3.1;78.7
306-70197 Veddinge Bakker;306;70197;Veddinge Bakker;0.0;0.0;0.0
306-70216 Nyrup;306;70216;Nyrup;271.0;1.5;179.2
306-70219 Ellinge Lyng;306;70219;Ellinge Lyng;350.0;3.6;96.4
306-70579 Grevinge Lammefjord;306;70579;Grevinge Lammefjord;228.0;0.9;266.7
306-99997 Uden fast bopæl;306;99997;Uden fast bopæl;77.0;0.0;0.0
306-99999 Landdistrikter;306;99999;Landdistrikter;10122.0;322.1;31.4
316-00316 Holbæk Kommune;316;00316;Holbæk Kommune;0.0;0.0;0.0
316-10176 Bybjerg;316;10176;Bybjerg;266.0;0.3;831.3
316-10180 Tjebberup;316;10180;Tjebberup;0.0;0.0;0.0
316-10276 Regstrup;316;10276;Regstrup;2119.0;1.6;1312.1
316-10310 Hagested;316;10310;Hagested;464.0;0.5;1010.9
316-10311 Hørby;316;10311;Hørby;0.0;0.0;0.0
316-10312 Kirke Eskilstrup;316;10312;Kirke Eskilstrup;719.0;0.4;1720.1
316-10371 Sønder Jernløse;316;10371;Sønder Jernløse;287.0;0.3;1003.5
316-10372 Kvanløse;316;10372;Kvanløse;265.0;0.2;1104.2
316-10373 Undløse;316;10373;Undløse;1133.0;0.9;1210.5
316-10380 Udby;316;10380;Udby;496.0;0.5;1078.3
316-10381 Gislinge;316;10381;Gislinge;1543.0;1.0;1538.4
316-10382 Kundby;316;10382;Kundby;738.0;0.4;1800.0
316-10392 Ugerløse;316;10392;Ugerløse;976.0;0.7;1412.4
316-10398 Jyderup;316;10398;Jyderup;4323.0;2.9;1487.6
316-10439 Svinninge;316;10439;Svinninge;2873.0;1.7;1718.3
316-10444 Knabstrup;316;10444;Knabstrup;1056.0;0.6;1892.5
316-10445 Mørkøv;316;10445;Mørkøv;1799.0;1.3;1419.9
316-10475 Stigs Bjergby;316;10475;Stigs Bjergby;314.0;0.4;811.4
316-10487 Holbæk;316;10487;Holbæk;28134.0;13.7;2048.0
316-10488 Mårsø;316;10488;Mårsø;289.0;0.2;1587.9
316-10489 Tuse;316;10489;Tuse;879.0;0.5;1680.7
316-10891 Arnakke;316;10891;Arnakke;411.0;0.2;1763.9
